stock	stage	session_id	start_shanghai	end_shanghai	elapsed_seconds	exit_code	requested_model	requested_effort	reported_model	reported_effort	auth	speed	input_tokens	cached_input_tokens	output_tokens	reasoning_output_tokens	model_evidence
300398.SZ	author	01a0cc0e-e5bc-7c33-bab2-5db62fd611f9	2026-09-23T10:18:43+08:00	2026-09-23T10:21:28+08:00	165	0	gpt-6-sol	xhigh	gpt-6-sol	xhigh	ChatGPT login	Standard requested; no Fast flag; served tier not reported	333684	272640	6625	3095	local Codex session turn_context; raw events retained locally
300398.SZ	check	01a0cc11-f94c-7ba1-99d0-3ec9693c4c7d	2026-09-23T10:22:05+08:00	2026-09-23T10:24:24+08:00	139	0	gpt-6-sol	xhigh	gpt-6-sol	xhigh	ChatGPT login	Standard requested; no Fast flag; served tier not reported	318444	259328	5609	2843	local Codex session turn_context; raw events retained locally
001378.SZ	author	01a0cc14-ae5d-7363-a8ea-098bce1df3b2	2026-09-23T10:25:02+08:00	2026-09-23T10:26:53+08:00	111	0	gpt-6-sol	xhigh	gpt-6-sol	xhigh	ChatGPT login	Standard requested; no Fast flag; served tier not reported	232959	182528	4359	1985	local Codex session turn_context; raw events retained locally
001378.SZ	check	01a0cc17-2657-7011-8e03-ff6b14549168	2026-09-23T10:27:44+08:00	2026-09-23T10:30:36+08:00	172	0	gpt-6-sol	xhigh	gpt-6-sol	xhigh	ChatGPT login	Standard requested; no Fast flag; served tier not reported	208547	157312	7328	5455	local Codex session turn_context; raw events retained locally
